Link_Text,Link_URL,cleaned_text
BOLA.NET,https://www.bola.net/,bolanet
BOLA.COM,https://www.bola.com/,bolacom
MERDEKA,https://www.merdeka.com/,merdeka
LIPUTAN6,https://www.liputan6.com/,liputan6
OTOSIA,https://www.otosia.com/,otosia
KAPANLAGI,https://www.kapanlagi.com/,kapanlagi
FIMELA,https://www.fimela.com/,fimela
MORE ,#,more
DREAM.CO.ID,https://www.dream.co.id/,dreamcoid
BRILIO.NET,https://www.brilio.net/,brilionet
,https://www.bola.net/,
,https://www.facebook.com/bola.net,
,https://twitter.com/bolanet,
,https://www.youtube.com/channel/UCzTu5m37Hxx5O_Ruo29hTIw,
,https://www.bola.net/feed/,
HOME,https://www.bola.net/,home
TRENDING,https://www.bola.net/trending/,trending
EROPA ,https://www.bola.net/bola_eropa.html,eropa
LIGA INGGRIS,https://www.bola.net/inggris/,liga inggris
LIGA ITALIA,https://www.bola.net/italia/,liga italia
LIGA SPANYOL,https://www.bola.net/spanyol/,liga spanyol
LIGA CHAMPIONS,https://www.bola.net/champions/,liga champions
LIGA EUROPA,https://www.bola.net/uefa/,liga europa
BUNDESLIGA,https://www.bola.net/bundesliga/,bundesliga
LAIN-LAIN,https://www.bola.net/liga_eropa_lain/,lainlain
DUNIA ,https://www.bola.net/bola_dunia.html,dunia
PIALA DUNIA,https://www.bola.net/piala_dunia/,piala dunia
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
AMERIKA LATIN,https://www.bola.net/amerika_latin/,amerika latin
ASIA,https://www.bola.net/asia/,asia
LAIN-LAIN,https://www.bola.net/bola_dunia_lainnya/,lainlain
INDONESIA ,https://www.bola.net/bola_indonesia.html,indonesia
LIGA INDONESIA,https://www.bola.net/indonesia/,liga indonesia
TIM NASIONAL,https://www.bola.net/tim_nasional/,tim nasional
VIDEO,https://www.bola.net/video/,video
BOLATAINMENT,https://www.bola.net/bolatainment/,bolatainment
JADWAL & SKOR ,https://www.bola.net/jadwal-pertandingan/,jadwal skor
SKOR TERKINI,https://www.bola.net/hasil-pertandingan/,skor terkini
JADWAL PERTANDINGAN,https://www.bola.net/jadwal-pertandingan/,jadwal pertandingan
JADWAL TV,https://www.bola.net/jadwal_televisi/,jadwal tv
KLASEMEN,https://www.bola.net/klasemen/inggris.html,klasemen
TOPSKOR,https://www.bola.net/topskor/inggris.html,topskor
RAGAM ,https://www.bola.net/ragam.html,ragam
SPESIAL SOCCER,https://www.bola.net/editorial/,spesial soccer
BERITA FOTO,https://www.bola.net/galeri/,berita foto
WALLPAPER,https://www.bola.net/wallpaper/,wallpaper
SPORT ,https://www.bola.net/olahraga_lain.html,sport
