Link_Text,Link_URL
"

",https://www.kompas.com/
"

",https://pemilu.kompas.com/
Home,https://pemilu.kompas.com/
Hitung Cepat,https://pemilu.kompas.com/quickcount
Hasil Akhir,https://pemilu.kompas.com/hasil-akhir
Pilpres,https://pemilu.kompas.com/pilpres
Pilkada,https://pemilu.kompas.com/pilkada
Pileg,https://pemilu.kompas.com/pileg
Kamus Pemilu,https://pemilu.kompas.com/kamus
Infografis,https://pemilu.kompas.com/infografis
Berita,https://pemilu.kompas.com/news
Hoaks atau Fakta,https://indeks.kompas.com/topik-pilihan/list/7225/cek.fakta.pemilu
"



",https://video.kompas.com/watch/1671413/tanggapan-andika-perkasa-soal-perang-bintang-di-pilkada-jawa-tengah-2024
"



Hadiri Rakercabsus Pilkada PDI-P di Sukoharjo, Andika Perkasa-Hendi Naik Kendaraan Taktis        
10 September 2024

",http://regional.kompas.com/read/2024/09/10/132555678/hadiri-rakercabsus-pilkada-pdi-p-di-sukoharjo-andika-perkasa-hendi-naik
"



Jelang Tahapan Masukan dan Tanggapan Pilkada, KPU Kabupaten Semarang Berharap Peran Masyarakat        
10 September 2024

",http://regional.kompas.com/read/2024/09/10/092640278/jelang-tahapan-masukan-dan-tanggapan-pilkada-kpu-kabupaten-semarang
"

9 September 2024
Alasan Dua Anggota DPRD Sulut 2024-2029 Memilih Tidak Dilantik
",http://makassar.kompas.com/read/2024/09/09/214905178/alasan-dua-anggota-dprd-sulut-2024-2029-memilih-tidak-dilantik
"

9 September 2024
Wacana Kotak Kosong Tiap Daerah, Pengamat: Masalah Akut soal Demokratisasi Pencalonan di Partai
",http://nasional.kompas.com/read/2024/09/09/20301631/wacana-kotak-kosong-tiap-daerah-pengamat-masalah-akut-soal-demokratisasi
"

9 September 2024
KPU Buleleng Sebut 40 Persen Pemilih Berada di Luar Daerah
",http://denpasar.kompas.com/read/2024/09/09/192355878/kpu-buleleng-sebut-40-persen-pemilih-berada-di-luar-daerah
"

9 September 2024
“Aspirasi Publik Bukan di Kotak Kosong, tapi Pada Calon dari Parpol atau Perseorangan""
",http://nasional.kompas.com/read/2024/09/09/19173191/aspirasi-publik-bukan-di-kotak-kosong-tapi-pada-calon-dari-parpol-atau
"

9 September 2024
Profil Letjen TNI Purn AM Putranto, Ketua Tim Pemenangan Ahmad Luthfi-Taj Yasin pada Pilkada Jateng
",http://www.kompas.com/tren/read/2024/09/09/160000265/profil-letjen-tni-purn-am-putranto-ketua-tim-pemenangan-ahmad-luthfi-taj
"

9 September 2024
Pengamat Nilai Gerakan Coblos 3 Calon pada Pilkada Jakarta Bakal Gerus Legitimasi Paslon Terpilih
",http://nasional.kompas.com/read/2024/09/09/15551251/pengamat-nilai-gerakan-coblos-3-calon-pada-pilkada-jakarta-bakal-gerus
"

9 September 2024
Bahas Beda Koalisi Parpol pada Pilkada Jateng dan Sragen, Andika Perkasa: Pasti Ada Strategi Khusus
",http://yogyakarta.kompas.com/read/2024/09/09/154042578/bahas-beda-koalisi-parpol-pada-pilkada-jateng-dan-sragen-andika-perkasa
"

9 September 2024
Kampanye Mendukung Kotak Kosong Mulai Bermunculan di Bangka Belitung
",http://regional.kompas.com/read/2024/09/09/143504778/kampanye-mendukung-kotak-kosong-mulai-bermunculan-di-bangka-belitung
"

9 September 2024
Soal Kandidat Pilkada Curi ""Start"" Kampanye, KPU Serahkan ke Bawaslu
",http://nasional.kompas.com/read/2024/09/09/14193091/soal-kandidat-pilkada-curi-start-kampanye-kpu-serahkan-ke-bawaslu
"


Pemilu 2024

",https://www.kompas.com/topik-pilihan/list/7106/pemilu-2024
"


Pengakuan Jokowi Cawe-cawe di Pemilu 2024

",https://www.kompas.com/topik-pilihan/list/8167/pengakuan-jokowi-cawe-cawe-di-pemilu-2024
"


Korupsi Proyek BTS Bakti Kominfo

",https://www.kompas.com/topik-pilihan/list/7908/korupsi-proyek-bts-bakti-kominfo
"


Debat Capres-Cawapres Pemilu 2024

",https://www.kompas.com/topik-pilihan/list/8738/debat-capres-cawapres-pemilu-2024
"


Cek Fakta Kompas.com

",https://www.kompas.com/topik-pilihan/list/6639/cek-fakta-kompas.com
"


IKN Dinamika dan Progres Pembangunannya

",https://www.kompas.com/topik-pilihan/list/7261/ikn-dinamika-dan-progres-pembangunannya
"Hadiri Rakercabsus Pilkada PDI-P di Sukoharjo, Andika Perkasa-Hendi Naik Kendaraan Taktis",http://regional.kompas.com/read/2024/09/10/132555678/hadiri-rakercabsus-pilkada-pdi-p-di-sukoharjo-andika-perkasa-hendi-naik
,https://pemilu.kompas.com/aspirasianakbangsa
"



INFOGRAFIK: Laporan Awal Dana Kampanye Pilpres 2024, Siapa yang Terbesar?
",http://www.kompas.com/cekfakta/read/2023/12/22/084532982/infografik-laporan-awal-dana-kampanye-pilpres-2024-siapa-yang-terbesar
"



INFOGRAFIK: Kenali Lagi Profil Capres dan Cawapres dalam Pilpres 2024
",http://www.kompas.com/cekfakta/read/2023/12/15/111100382/infografik--kenali-lagi-profil-capres-dan-cawapres-dalam-pilpres-2024
"



INFOGRAFIK: Kenali Lima Jenis Surat Suara dalam Pemilu 2024
",http://www.kompas.com/cekfakta/read/2023/12/06/131300482/infografik-kenali-lima-jenis-surat-suara-dalam-pemilu-2024
"



INFOGRAFIK: 56 Bekas Terpidana Korupsi Masuk DCT, Jadi Caleg Pemilu 2024
",http://www.kompas.com/cekfakta/read/2023/11/27/084800682/infografik-56-bekas-terpidana-korupsi-masuk-dct-jadi-caleg-pemilu-2024
"

9 September 2024
KPU Susun Aturan soal Dana Kampanye Pilkada
",http://nasional.kompas.com/read/2024/09/09/13104261/kpu-susun-aturan-soal-dana-kampanye-pilkada
"

9 September 2024
4 Paslon Pilkada Jabar Sudah Serahkan Dokumen Perbaikan Syarat Administrasi ke KPU
",http://bandung.kompas.com/read/2024/09/09/123658578/4-paslon-pilkada-jabar-sudah-serahkan-dokumen-perbaikan-syarat-administrasi
"

9 September 2024
Indonesia Perlu Wacanakan Kotak Kosong Tak Hanya untuk Calon Tunggal
",http://nasional.kompas.com/read/2024/09/09/12202911/indonesia-perlu-wacanakan-kotak-kosong-tak-hanya-untuk-calon-tunggal
"

9 September 2024
KPU Akan Rapat dengan DPR Selasa Besok, Bahas Soal Kotak Kosong pada Pilkada 2024
",http://nasional.kompas.com/read/2024/09/09/12060871/kpu-akan-rapat-dengan-dpr-selasa-besok-bahas-soal-kotak-kosong-pada-pilkada
"

9 September 2024
Deretan Purnawirawan Jenderal di Belakang Ahmad Luthfi-Taj Yasin dalam Pilkada Jateng
",http://nasional.kompas.com/read/2024/09/09/11535281/deretan-purnawirawan-jenderal-di-belakang-ahmad-luthfi-taj-yasin-dalam
"

9 September 2024
Jelang Pilkada Jabar 2024, Ronal Surapradja: Tidak Siap, tapi Harus Siap
",http://bandung.kompas.com/read/2024/09/09/115157678/jelang-pilkada-jabar-2024-ronal-surapradja-tidak-siap-tapi-harus-siap
"

9 September 2024
Ada Kesewenangan DPP Parpol di Balik Fenomena Calon Tunggal Pilkada 2024
",http://nasional.kompas.com/read/2024/09/09/11132151/ada-kesewenangan-dpp-parpol-di-balik-fenomena-calon-tunggal-pilkada-2024
"

9 September 2024
Profil Kun Wardana, Bakal Cawagub Jakarta 2024 dari Jalur Independen
",http://megapolitan.kompas.com/read/2024/09/09/11012321/profil-kun-wardana-bakal-cawagub-jakarta-2024-dari-jalur-independen
"

9 September 2024
Gerakan Coblos Semua Paslon pada Pilkada karena Aspirasi Warga Tak Diwadahi Parpol
",http://nasional.kompas.com/read/2024/09/09/10510351/gerakan-coblos-semua-paslon-pada-pilkada-karena-aspirasi-warga-tak-diwadahi
View all,https://pemilu.kompas.com/galeri
